Name,Region,Scientific Name,Sun Exposure,Rating,Description,Habit or Use,Color,Blooming Period,Fruit Characteristics,Height,Width,Firewise Index,Additional Comments,Heat Tolerance,Water Requirements,Soil Requirements,Pest Tolerance,Fertility Requirements
Oregongrapeholly,0,Mahonia aquifolium,"partial sun, shade",8,"Mahonia aquifolium is a variable size evergreen shrub that is rounded to spreading in form. Its leaflets are often confused with those of holly (Ilex spp.)leaves. The flowers are a bit later than those of Mahonia bealei, but are more showy. The foliage is not as coarse as that of Leatherleaf Mahonia and blends more readily with other landscape plants. The blue fruit can be a plus in the summer / fall.","Small shrub, medium shrub, large shrub",Yellow,"Spring, winter",None,78,78,6,"Mahonia aquifolium is probably not as well adapted to USDA zones 8 or 9 as is Mahonia bealei. Oregongrapeholly requires good drainage, a steady moisture supply (even in the winter), and an acid soil.",Medium Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Egyptian Papyrus,0,Cyperus papyrus,"sun, partial sun, shade",8,"Egyptian Papyrus is similar but much softer in texture than its close relative the Umbrella Palm (Cyperus alternifolius). The flower stalks serve as the photosynthetic structure topped with pompom-like balls of leafy filamentous bracts. The effect is distinctive. Egyptian Papyrus was the plant from which the ancient Egyptians produced papyrus, helping to foster the development of one of earth's greatest civilizations. Excellent water or bog garden plant.","Warm season annual, perennial, tropical, interiorscape","Green, not ornamental","Spring, summer",Not ornamental,84,60,7,Not as generally durable as Umbrella Palm; often used as a summer water garden accent that is overwintered indoors or treated as an annual.,High Heat Tolerance,Medium Water Use,Medium Soil Requirements,High Pest Resistance,Low Fertility Requirements
Black Bamboo,0,Phyllostachys nigra,"sun, partial sun, shade",8,Black Bamboo can generally be thought of as a smaller more shrubby version of Phyllostachys aurea. Black Bamboo has attractive dark green to purple-black culms (stems).,"Large shrub, tropical","Rare in cultivation, signal death of above ground portions of the plant","Spring, summer","Seldom encountered, not ornamental",41,0,6,Adapted to similar conditions as P. aurea. May be somewhat easier to contain spacially than P. aurea.,High Heat Tolerance,Medium Water Use,Medium Soil Requirements,High Pest Resistance,Low Fertility Requirements
Siberian Elm,0,Ulmus pumila,sun,8,"Siberian Elm is a medium to large size deciduous tree. It is much maligned for its poor growth form, susceptibility to cotton root rot, wet wood and general tendency to be short-lived. It is perhaps the toughest of the elms in adverse conditions and is one of the few trees suitable for planting in some regions of the Great Plains. It's use should be reserved for situations where better trees are not adapted.","Medium tree, large tree",Green-brown,"Spring, winter",Winged samara,480,480,9,"Valued for its environmental adaptability, DED resistance, and phloem necrosis resistance in breeding programs, but unfortunately brings many genetic limitations to the table as well.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Thornless Common Honeylocust,0,Gleditsia triacanthos var. inermis,sun,8,"The Thornless Common Honeylocust is a medium to large deciduous shade tree popular for its vase-shaped, stratified branching, filtered shade, and soft-textured summer foliage and yellow fall color. Once planted as a replacement for the Dutch Elm Disease killed American Elms, but pests and diseases are beginning to aflict this species as well. The large pods can be a maintanence liability. The species type (Gleditsia triacanthos var. triacanthos) has large fierce thorns and is not planted in landscapes.","Medium tree, large tree",Green,Spring,Large 6 inch to 18 inch twisted flattened pods,480,360,10,Selection from the northern portion of the species' range are not particularly vigorous in USDA zones 8 and 9; subject to similar disease problems as the species type.,High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Lacebark Elm,0,Ulmus parvifolia,sun,8,Lacebark Elm is one of the premier rapid growing shade trees for Texas. The fine textured foliage is little bothered by insects nor disease. Highly resistant to many common elm afflictions including Dutch Elm Disease. The highly ornamental exfoliating bark is a year-round asset.,Medium tree,Green-brown,"Summer, fall",Can take on bronzish colors on some clones,480,420,9,"Often confused with the vastly inferior landscape tree, Ulmus pumila; the only real probems this elm experiences are cotton root rot, mistletoe, and occasionally black spot on the leaves.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Golden Bamboo,0,Phyllostachys aurea,"sun, partial sun, shade",8,Golden Bamboo is perhaps the most widely encountered of the running (spreading) bamboos. Stems (culms) are yellow and can reach a 2 inch diameter and 15 ft height. Bamboos add a decided oriental or tropical effect to landscapes. The running bamboos can be very invasive.,"Large shrub, tropical","Not ornamental, signal death of the above ground plant portions","Spring, summer","Not ornamental, infrequently observed",67,0,6,"Down-right tough once established, difficult to kill. Plant where rhizomes can be restrained. Culms make great fishing poles. Roots are hardy in USDA zone 7, but the foliage can frequently be damaged.",High Heat Tolerance,Medium Water Use,Medium Soil Requirements,High Pest Resistance,Low Fertility Requirements
Celosia or Cockscomb,0,Celosia cristata,"sun, partial sun",8,"Cockscomb is an old fashioned annual effective season long in northern regions and as a transition season annual in Texas. Celosia is available with plume or comb type flowers in a range of bright and pastel colors. Dwarf and semi-dwarf types are effective for bedding and massing, while taller types make excellent cut or dried flowers.",Transition season annual,"Yellow, pink, ornage, or reds, plumes or comb types flower heads.","Spring, summer, fall",Utricle,21,12,7,Newer hybrid cultivars tend to melt in Texas' summer heat; use the old-fashion strains for greater heat tolerance; spider mites can be a problem summer.,High Heat Tolerance,Medium Water Use,Medium Soil Requirements,High Pest Resistance,Low Fertility Requirements
Common Flowering Quince,0,Chaenomeles speciosa,"sun, partial sun",8,Common Flowering Quince is a suckering multi-stem deciduous shrub with an upright to rounded mound-like crown. The thorny branches are covered in spring with axillary clusters of apple-blossom-like flowers. Bloom is best in  North Texas as sporadic blooming tends to occur throughout the winter in Central and South Texas.,"Small shrub, medium shrub","Red, pink, white, salmon, orange",Spring,"Knobby apple-like or pear-like pome, edible",48,48,8,"Adaptable shrub, perhaps more commonly encountered in Texas in the form of Chaenomeles speciosa 'Texas Scarlet' or the hyrbid species, Chaenomeles x superba, for which C. speciosa is one of the parents.",Medium Heat Tolerance,Medium Water Use,Low Soil Requirements,High Pest Resistance,Low Fertility Requirements
Texas Ash,0,Fraxinus texensis,sun,8,Texas Ash is a smaller more drought tolerant version of Fraxinus americana (White Ash). This ash can make an attractive medium size deciduous shade tree in Texas and is probably a better choice for Central and West Texas than is White Ash.,"Tree, small tree, medium tree",Green or purple,Spring,Small woody winged samara in 6 inch to 8 inch long panicles,480,420,8,Cold hardiness beyond USDA zone 7 has not been fully tested; probably deserves a longer look for use in Texas landscapes; slower growing than Fraxinus americana or Fraxinus velutina; sometimes classified as a western variety of white ash (Fraxinus americana var. texensis).,High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Green Ash,0,Fraxinus pennsylvanica,sun,8,"Green Ash is a widely distributed native tree to Eastern and Central North America that is frequently planted in cold / cool temperate regions. Green Ash forms a rounded to upright oval crown typically with three or four primary scaffold branches. Its rapid growth, broad site adaptability, and sometimes good yellow fall color make it popular for quick shade, but Green Ash tends to become a liability with age.","Tree, medium tree, large tree","Green to purple, dioecious",Spring,Small woody winged samaras in axillary clusters,540,480,8,"More drought and seasonal wet soil tolerant than Fraxinus americana (White Ash), but an inferior plant to White Ash in old age; susceptible to ash borers and other ash maladies.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Bur Oak,0,Quercus macrocarpa,sun,8,"Bur Oaks are large deciduous trees native to several portions of Texas. Bur Oaks are fairly rapid growers, compared to other oaks, and can be used as large shade trees for larger residential sites or parks. An upright rounded crown is formed above a short stout trunk, the wood is sold as white oak.",Large tree,"Green, catkins and globose",Spring,"Huge acorns, to 2 inch long",840,600,9,"Very durable, tolerates drought, heat, cold, and limestone soils; bit slow to establish and resume growth if transplanted as a large specimen; powdery mildew can be an occasional problem.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
Winged Elm,0,Ulmus alata,sun,8,"Winged Elm is a medium size native Texas tree. This deciduous tree is sometimes planted in Texas landscapes, but is more frequently preserved on site when developed. While it tends to have a somewhat irregular vase-shaped form, it is seldom as uniform and impressive as with American Elm (Ulmus americana). Subject to Dutch Elm Disease (DED) and powdery mildew.","Medium tree, large tree","Red-brown, not ornamental","Spring, winter","Small winged samara, not ornamental",540,420,8,"Tough fast growing tree that tends to be relatively short-lived; growth habit is questionable, DED resistant selections of U. americana, Ulmus parvifolia or Ulmus crassifolia would probably be better choices.",High Heat Tolerance,Medium Water Use,Low Soil Requirements,Medium Pest Resistance,Low Fertility Requirements
